Category,Session,Topic,Technical Explanation
Web Development,1- Intro,React / Next.js / TS,"Building type-safe, scalable web apps with TypeScript and Next.js."
UI/UX & Design,1- Intro,Tailwind CSS,A utility-first CSS framework for rapid styling (like Auto-Layout in code).
Data Management,1- Intro,Python (for Data),"Using Python for heavy data analysis, visualization (D3.js / Recharts), and automation."
Dev Tools,1- Intro,IDE & Debugger,Using the Integrated Development Environment and tools to step through and fix broken code.
Dev Tools,1- Intro,The Terminal (CLI),"Command Line basics: Navigation (cd, ls, mkdir) and running environment scripts."
Dev Tools,1- Intro,Local Environment & Localhost,Configuring Node.js/Python and viewing your private preview server on localhost:3000.
Web Development,1- Intro,APIs & REST,How apps exchange data using GET/POST/PUT/DELETE methods. Reading documentation.
AI Concepts,1- Intro,MCP (Protocol),"The Model Context Protocol used to plug Claude into local files, Slack, or Google Drive."
Version Control,1- Intro,Git Basics,"Saving progress via Commits, experimenting with Branches, and combining work via Merges."
Version Control,1- Intro,GitHub Desktop,A visual interface for Git that manages history without using the terminal.
Version Control,2 - Dev Workflow,Versioning & Git (Revision),"Review of commits, branches, pull vs push, remote vs local. What git pull actually does."
Version Control,2 - Dev Workflow,GitHub & GitLab,"Remote repository hosting. GitHub = social/open, GitLab = often self-hosted. Forks, remotes, origin."
Dev Tools,2 - Dev Workflow,GitHub Desktop (Hands-on),"Branching, staging, history, resolving conflicts — all without the terminal."
Dev Tools,2 - Dev Workflow,GitHub CLI (gh),"Installing a remote CLI via brew. gh auth login, gh pr create, gh repo view. Terminal as GitHub UI."
Dev Tools,2 - Dev Workflow,Package Managers (npm / bun),"Dependency graphs, node_modules, package.json scripts, lock files. What npm run dev actually does."
Web Development,2 - Dev Workflow,APIs & REST (Deep Dive),"Request/response cycle, HTTP status codes, reading API docs, browser DevTools Network tab."
AI Concepts,2 - Dev Workflow,MCP Architecture,"Host / Client / Server model. How Claude connects to Figma, Slack, local files via a standard protocol."
AI Tools,2 - Dev Workflow,Claude Code Setup,"CLI agent for multi-file code tasks. Install via npm, configure MCP servers in JSON config."
AI Concepts,3 - Deeper into LLMs,"How LLMs ""Think""","Understanding Tokenization, Probability, and the difference between ""Stochastic Parrots"" and ""Reasoning."""
AI Concepts,3 - Deeper into LLMs,Model Tiering,When to use Reasoning models vs Fast models vs Local models (Llama 3).
AI Concepts,3 - Deeper into LLMs,Context Windows,"Managing the finite ""active memory"" of a conversation to prevent context loss or hallucination."
